,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
0,21748178,33:20.0,-1,2239900,400,33:20.3,0.250557432,200,2239900,2236000,2239900,2236000,3900,3900,1808.430536,511
1,21866417,33:26.5,-1,2239600,400,33:29.3,2.781918737,200,2239600,2236500,2239600,2236500,3100,3100,1803.61503,516
2,35085399,45:53.2,-1,2237400,400,45:53.2,0.001129736,200,2237100,2235100,2237200,2235100,2000,2100,2570.657999,2877
3,35699321,46:34.1,-1,2237300,400,46:42.6,8.520380384,200,2237300,2235500,2237200,2235500,1800,1700,2614.720021,2962
4,38755648,50:14.5,-1,2239900,6,50:19.6,5.068726598,1,2239900,2237600,2239900,2238000,2300,1900,2014.628373,3184
5,42650801,54:59.1,-1,2243800,400,54:59.4,0.320574692,200,2243800,2241600,2243700,2241600,2200,2100,2985.602876,4048
6,53304490,04:35.7,-1,2236000,4,04:36.2,0.423781856,1,2236000,2235000,2236000,2235000,1000,1000,3473.485575,4504
7,61021811,12:03.7,-1,2235900,2,12:03.7,0.003245135,1,2235900,2234700,2235900,2234700,1200,1200,3589.312273,4625
8,62393340,14:01.1,-1,2235000,3,14:02.6,1.468323242,1,2235000,2234200,2235000,2233400,800,1600,2818.069529,4488
9,89131188,52:50.0,-1,2257400,200,52:50.0,0.001639324,100,2257300,2254600,2257300,2255000,2700,2300,5312.518218,3442
10,89137728,52:51.1,1,2254200,200,52:51.6,0.43935078,100,2257300,2255000,2257300,2255000,2300,2300,5315.630915,3454
11,89264643,53:03.9,1,2255000,200,53:04.1,0.203510007,100,2257400,2255200,2257400,2256600,2200,800,5426.780646,3449
12,89334655,53:09.4,1,2255700,200,53:09.6,0.204966339,100,2257500,2256400,2257500,2256400,1100,1100,5526.225057,3476
13,89347234,53:10.4,1,2255700,200,53:10.4,0.000462663,100,2257500,2256400,2257500,2256400,1100,1100,5542.03247,3476
14,89372094,53:13.0,1,2255600,200,53:14.4,1.384335346,100,2257500,2256400,2257500,2256400,1100,1100,5542.03247,3478
15,89407931,53:17.2,1,2255700,200,53:18.2,0.987450167,100,2257500,2256600,2257500,2256600,900,900,5635.001449,3477
16,89430047,53:19.8,1,2255900,200,53:19.9,0.022992476,100,2258200,2256100,2258200,2256100,2100,2100,5766.851422,3502
17,89492125,53:29.8,1,2257200,200,53:29.8,0.012449643,100,2259600,2258500,2259600,2258500,1100,1100,6177.696461,3590
