OrderID,Time_st,V_st,P_st,Label_st,Level_st,Volts_st,N_OrderSubmit_st,Spread_st,Submit_rate_st,Cancel_rate_st,Execute_rate_st,Time_ed,V_ed,P_ed,Label_ed,Level_ed,Volts_ed,N_OrderSubmit_ed,Spread_ed,Submit_rate_ed,Cancel_rate_ed,Execute_rate_ed
29035435,34811.182036234,100,2241400,la,1.0,2748.633074276408,1186,3700,46.29,39.66,14.05,34848.538255613,99,2241400,mb,1.0,2782.8838090695635,1181,1800,46.64,40.24,13.11
29092003,34814.30541224,75,2240100,la,1.0,2784.540429773989,1183,2000,46.43,39.87,13.7,34828.88131904,39,2240100,mb,1.0,2791.6812263238453,1176,3700,46.61,40.07,13.32
29107250,34814.477256533,2,2240000,la,1.0,2784.540429773989,1187,3300,46.46,39.88,13.66,34816.945843149,2,2240000,mb,1.0,2786.8942730857066,1179,3400,46.44,39.86,13.71
29171582,34816.945843149,11,2240000,lb,1.0,2786.8942730857066,1179,100,46.44,39.86,13.71,34816.94595141,11,2240000,ma,1.0,2783.408919017516,1179,3400,46.42,39.84,13.74
29189328,34818.02305272,90,2240600,la,2.0,2788.7294108066803,1180,3400,46.46,39.88,13.66,34828.904777753996,90,2240600,mb,1.0,2775.7382937264674,1182,1800,46.63,39.96,13.41
29264701,34823.000626217996,100,2240600,la,2.0,2801.240684525412,1180,3400,46.57,39.98,13.46,34828.904890354,90,2240600,mb,1.0,2771.7058402607963,1182,2600,46.61,39.94,13.45
29353724,34828.120938907,100,2240400,la,2.0,2801.955185678908,1178,3400,46.62,40.13,13.26,34828.904342531,39,2240400,mb,1.0,2783.8562766836158,1182,1800,46.66,39.99,13.34
29366093,34828.881571542996,19,2240100,lb,1.0,2791.6812263238453,1177,300,46.63,40.06,13.31,34828.881691257004,19,2240100,ma,1.0,2787.861179892449,1177,3700,46.61,40.04,13.35
29423206,34831.64994489,50,2242500,la,3.0,2745.434623006237,1189,3900,46.46,39.9,13.64,34856.12247288,50,2242500,mb,1.0,2737.863482777319,1147,4100,46.44,39.6,13.97
29426472,34831.91488713,100,2241100,la,1.0,2745.434623006237,1191,3600,46.49,39.89,13.62,34847.425056565,67,2241100,mb,1.0,2790.8337477080554,1158,3700,46.62,40.1,13.29
29586814,34843.674332329,100,2241200,la,2.0,2788.4050908536324,1168,3600,46.65,40.06,13.3,34847.427528254,67,2241200,c,1.0,2790.8337477080554,1159,3900,46.62,40.1,13.27
29639018,34846.567607171004,100,2241000,la,1.0,2816.2090904303805,1158,3500,46.71,40.22,13.07,34847.424035631004,67,2241000,mb,1.0,2799.1423950013777,1158,3600,46.66,40.13,13.22
29742099,34848.554575959,17,2241500,la,1.0,2782.8838090695635,1189,400,46.7,40.26,13.04,34852.428054467004,16,2241500,mb,1.0,2771.3969382036244,1112,800,46.45,39.56,13.99
29776872,34850.094390521,100,2241700,la,2.0,2779.0101965353056,1166,600,46.64,40.04,13.32,34855.772629269,100,2241700,mb,1.0,2749.399175701714,1129,3900,46.44,39.53,14.03
29827095,34852.524794516,33,2240900,lb,1.0,2771.3969382036244,1117,800,46.44,39.63,13.93,34852.524894468996,33,2240900,ma,1.0,2767.281682209948,1117,3100,46.43,39.61,13.97
29877071,34855.630756775,200,2241600,la,1.0,2764.300305672934,1127,3000,46.49,39.6,13.9,34855.772081477,200,2241600,mb,1.0,2752.95953912302,1128,3000,46.44,39.56,14.0
29879335,34855.744277207996,100,2241600,la,1.0,2764.300305672934,1128,3000,46.5,39.61,13.89,34855.772081477,100,2241600,mb,1.0,2752.95953912302,1128,3100,46.44,39.56,14.0
